extension_h_mask,extension_h_neighbors,labeled_graph6,canonical_graph6,gamma,alpha,gamma_infinity,theta,unrestricted_optimal_kernel_states,family_witness_count,augmentation_sensitive_witness_count,family_witnesses
266,"[1,3,8]",IFzvvn{jo,INZL|z^zo,2,3,3,3,116,2,2,"[{""new_list"":[0],""family_states"":82,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
267,"[0,1,3,8]",IFzvvn{Jo,Ii^Nlm|Nw,2,3,3,3,105,0,0,[]
268,"[2,3,8]",IFzvvn{ro,INZL|z^zo,2,3,3,3,116,2,2,"[{""new_list"":[0],""family_states"":82,""deletion_rounds"":[17,5,4,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,1],""family_states"":88,""deletion_rounds"":[14,4,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
269,"[0,2,3,8]",IFzvvn{Ro,Ii^Nlm|Nw,2,3,3,3,105,0,0,[]
270,"[1,2,3,8]",IFzvvn{bo,Ii^Nlm|Nw,2,3,3,3,105,0,0,[]
271,"[0,1,2,3,8]",IFzvvn{Bo,IiP~tu|Nw,2,4,4,4,205,0,0,[]
272,"[4,8]",IFzvvn{|o,I}qzp{~^w,2,3,3,3,115,1,1,"[{""new_list"":[1,2],""family_states"":88,""deletion_rounds"":[12,2,7],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
273,"[0,4,8]",IFzvvn{\o,Iwn]p|v^w,2,3,3,3,113,1,1,"[{""new_list"":[1,2],""family_states"":86,""deletion_rounds"":[12,2,7,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
274,"[1,4,8]",IFzvvn{lo,Iwn]p|v^w,2,3,3,3,113,0,0,[]
275,"[0,1,4,8]",IFzvvn{Lo,II^Nlm|nw,2,3,3,3,99,0,0,[]
276,"[2,4,8]",IFzvvn{to,Iwn]p|v^w,2,3,3,3,113,0,0,[]
277,"[0,2,4,8]",IFzvvn{To,II^Nlm|nw,2,3,3,3,99,0,0,[]
278,"[1,2,4,8]",IFzvvn{do,II^Nlm|nw,2,3,3,3,99,0,0,[]
279,"[0,1,2,4,8]",IFzvvn{Do,IIP~tu|nw,2,4,4,4,204,0,0,[]
280,"[3,4,8]",IFzvvn{xo,Ifzdzw~Vw,2,3,3,3,114,1,1,"[{""new_list"":[1,2],""family_states"":86,""deletion_rounds"":[12,2,7,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
281,"[0,3,4,8]",IFzvvn{Xo,IJMl}~]zW,2,3,3,3,110,1,1,"[{""new_list"":[1,2],""family_states"":81,""deletion_rounds"":[12,2,7,3],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
282,"[1,3,4,8]",IFzvvn{ho,IJMl}~]zW,2,3,3,3,110,0,0,[]
283,"[0,1,3,4,8]",IFzvvn{Ho,II^Nlk~nW,2,3,3,3,93,0,0,[]
284,"[2,3,4,8]",IFzvvn{po,IJMl}~]zW,2,3,3,3,110,0,0,[]
285,"[0,2,3,4,8]",IFzvvn{Po,II^Nlk~nW,2,3,3,3,93,0,0,[]
286,"[1,2,3,4,8]",IFzvvn{`o,II^Nlk~nW,2,3,3,3,93,0,0,[]
287,"[0,1,2,3,4,8]",IFzvvn{@o,IIP~ts~nW,2,4,4,4,194,0,0,[]
288,"[5,8]",IFzvvn{}o,Ivz`x|^vw,2,3,3,3,117,3,3,"[{""new_list"":[0,1],""family_states"":83,""deletion_rounds"":[14,3,11],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":97,""deletion_rounds"":[8,1,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[1,2],""family_states"":88,""deletion_rounds"":[12,2,8,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
289,"[0,5,8]",IFzvvn{]o,ITxzu^V|w,2,3,3,3,115,1,1,"[{""new_list"":[1,2],""family_states"":87,""deletion_rounds"":[12,2,8,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
290,"[1,5,8]",IFzvvn{mo,ITxzu^V|w,2,3,3,3,115,1,1,"[{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
291,"[0,1,5,8]",IFzvvn{Mo,IB^s~Nj}w,2,3,3,3,103,0,0,[]
292,"[2,5,8]",IFzvvn{uo,ITxzu^V|w,2,3,3,3,115,1,1,"[{""new_list"":[0,1],""family_states"":82,""deletion_rounds"":[14,3,11],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
293,"[0,2,5,8]",IFzvvn{Uo,IB^s~Nj}w,2,3,3,3,103,0,0,[]
294,"[1,2,5,8]",IFzvvn{eo,IB^s~Nj}w,2,3,3,3,103,0,0,[]
295,"[0,1,2,5,8]",IFzvvn{Eo,I?\~vft~W,2,4,4,4,205,0,0,[]
296,"[3,5,8]",IFzvvn{yo,IRqi~~}~_,2,3,3,3,116,2,2,"[{""new_list"":[0,1],""family_states"":82,""deletion_rounds"":[14,3,11],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true},{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
297,"[0,3,5,8]",IFzvvn{Yo,IjN]vMnNw,2,3,3,3,112,0,0,[]
298,"[1,3,5,8]",IFzvvn{io,IjN]vMnNw,2,3,3,3,112,1,1,"[{""new_list"":[0,2],""family_states"":93,""deletion_rounds"":[8,1,4,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
299,"[0,1,3,5,8]",IFzvvn{Io,Ii[}^evNw,2,3,3,3,97,0,0,[]
300,"[2,3,5,8]",IFzvvn{qo,IjN]vMnNw,2,3,3,3,112,1,1,"[{""new_list"":[0,1],""family_states"":79,""deletion_rounds"":[14,3,11],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
301,"[0,2,3,5,8]",IFzvvn{Qo,Ii[}^evNw,2,3,3,3,97,0,0,[]
302,"[1,2,3,5,8]",IFzvvn{ao,Ii[}^evNw,2,3,3,3,97,0,0,[]
303,"[0,1,2,3,5,8]",IFzvvn{Ao,IiPx~qzNw,2,4,4,4,195,0,0,[]
304,"[4,5,8]",IFzvvn{{o,Ig~vc{~^w,2,3,3,3,113,0,0,[]
305,"[0,4,5,8]",IFzvvn{[o,IJN]vMnnw,2,3,3,3,109,0,0,[]
306,"[1,4,5,8]",IFzvvn{ko,IJN]vMnnw,2,3,3,3,109,0,0,[]
307,"[0,1,4,5,8]",IFzvvn{Ko,II[}^evnw,2,3,3,3,91,0,0,[]
308,"[2,4,5,8]",IFzvvn{so,IJN]vMnnw,2,3,3,3,109,0,0,[]
309,"[0,2,4,5,8]",IFzvvn{So,II[}^evnw,2,3,3,3,91,0,0,[]
310,"[1,2,4,5,8]",IFzvvn{co,II[}^evnw,2,3,3,3,91,0,0,[]
311,"[0,1,2,4,5,8]",IFzvvn{Co,IIPx~qznw,2,4,4,4,194,0,0,[]
312,"[3,4,5,8]",IFzvvn{wo,IBMn~z{rw,2,3,3,3,106,0,0,[]
313,"[0,3,4,5,8]",IFzvvn{Wo,IJN]vK~jw,2,3,3,3,100,0,0,[]
314,"[1,3,4,5,8]",IFzvvn{go,IJN]vK~jw,2,3,3,3,100,0,0,[]
315,"[0,1,3,4,5,8]",IFzvvn{Go,II[}^c~lw,2,3,3,3,80,0,0,[]
316,"[2,3,4,5,8]",IFzvvn{oo,IJN]vK~jw,2,3,3,3,100,0,0,[]
317,"[0,2,3,4,5,8]",IFzvvn{Oo,II[}^c~lw,2,3,3,3,80,0,0,[]
318,"[1,2,3,4,5,8]",IFzvvn{_o,II[}^c~lw,2,3,3,3,80,0,0,[]
319,"[0,1,2,3,4,5,8]",IFzvvn{?o,IIPx~o~mw,2,4,4,4,174,0,0,[]
320,"[6,8]",IFzvvn{~O,IX~vc|^vw,2,3,3,3,117,1,1,"[{""new_list"":[0,2],""family_states"":96,""deletion_rounds"":[8,1,5,1],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
321,"[0,6,8]",IFzvvn{^O,Io|zumv|w,2,3,3,3,115,0,0,[]
322,"[1,6,8]",IFzvvn{nO,Io|zumv|w,2,3,3,3,115,1,1,"[{""new_list"":[0,2],""family_states"":94,""deletion_rounds"":[8,1,5,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
323,"[0,1,6,8]",IFzvvn{NO,IBZ~Muz}w,2,3,3,3,103,0,0,[]
324,"[2,6,8]",IFzvvn{vO,Io|zumv|w,2,3,3,3,115,0,0,[]
325,"[0,2,6,8]",IFzvvn{VO,IBZ~Muz}w,2,3,3,3,103,0,0,[]
326,"[1,2,6,8]",IFzvvn{fO,IBZ~Muz}w,2,3,3,3,103,0,0,[]
327,"[0,1,2,6,8]",IFzvvn{FO,IBXf}y|~W,2,4,4,4,205,0,0,[]
328,"[3,6,8]",IFzvvn{zO,IFqj^~}~_,2,3,3,3,116,1,1,"[{""new_list"":[0,2],""family_states"":94,""deletion_rounds"":[8,1,5,2],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
329,"[0,3,6,8]",IFzvvn{ZO,Ii^vd]^Nw,2,3,3,3,112,0,0,[]
330,"[1,3,6,8]",IFzvvn{jO,Ii^vd]^Nw,2,3,3,3,112,1,1,"[{""new_list"":[0,2],""family_states"":89,""deletion_rounds"":[8,1,5,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
331,"[0,1,3,6,8]",IFzvvn{JO,Ii\vd]^Nw,2,3,3,3,97,0,0,[]
332,"[2,3,6,8]",IFzvvn{rO,Ii^vd]^Nw,2,3,3,3,112,0,0,[]
333,"[0,2,3,6,8]",IFzvvn{RO,Ii\vd]^Nw,2,3,3,3,97,0,0,[]
334,"[1,2,3,6,8]",IFzvvn{bO,Ii\vd]^Nw,2,3,3,3,97,0,0,[]
335,"[0,1,2,3,6,8]",IFzvvn{BO,Ii\rd]^Nw,2,4,4,4,195,0,0,[]
336,"[4,6,8]",IFzvvn{|O,Io~va{~^w,2,3,3,3,113,0,0,[]
337,"[0,4,6,8]",IFzvvn{\O,II^vd]^nw,2,3,3,3,109,0,0,[]
338,"[1,4,6,8]",IFzvvn{lO,II^vd]^nw,2,3,3,3,109,0,0,[]
339,"[0,1,4,6,8]",IFzvvn{LO,II\vd]^nw,2,3,3,3,91,0,0,[]
340,"[2,4,6,8]",IFzvvn{tO,II^vd]^nw,2,3,3,3,109,0,0,[]
341,"[0,2,4,6,8]",IFzvvn{TO,II\vd]^nw,2,3,3,3,91,0,0,[]
342,"[1,2,4,6,8]",IFzvvn{dO,II\vd]^nw,2,3,3,3,91,0,0,[]
343,"[0,1,2,4,6,8]",IFzvvn{DO,II\rd]^nw,2,4,4,4,194,0,0,[]
344,"[3,4,6,8]",IFzvvn{xO,IIMk~~}~_,2,3,3,3,110,0,0,[]
345,"[0,3,4,6,8]",IFzvvn{XO,II^vd]^Nw,2,3,3,3,103,0,0,[]
346,"[1,3,4,6,8]",IFzvvn{hO,II^vd]^Nw,2,3,3,3,103,0,0,[]
347,"[0,1,3,4,6,8]",IFzvvn{HO,II\vd]^Nw,2,3,3,3,81,0,0,[]
348,"[2,3,4,6,8]",IFzvvn{pO,II^vd]^Nw,2,3,3,3,103,0,0,[]
349,"[0,2,3,4,6,8]",IFzvvn{PO,II\vd]^Nw,2,3,3,3,81,0,0,[]
350,"[1,2,3,4,6,8]",IFzvvn{`O,II\vd]^Nw,2,3,3,3,81,0,0,[]
351,"[0,1,2,3,4,6,8]",IFzvvn{@O,II\rd]^Nw,2,4,4,4,174,0,0,[]
352,"[5,6,8]",IFzvvn{}O,I@z~vrV|w,2,3,3,3,106,0,0,[]
353,"[0,5,6,8]",IFzvvn{]O,IIVt|zj}w,2,3,3,3,103,0,0,[]
354,"[1,5,6,8]",IFzvvn{mO,IIVt|zj}w,2,3,3,3,103,0,0,[]
355,"[0,1,5,6,8]",IFzvvn{MO,IBXns~t~W,2,3,3,3,88,0,0,[]
356,"[2,5,6,8]",IFzvvn{uO,IIVt|zj}w,2,3,3,3,103,0,0,[]
357,"[0,2,5,6,8]",IFzvvn{UO,IBXns~t~W,2,3,3,3,88,0,0,[]
358,"[1,2,5,6,8]",IFzvvn{eO,IBXns~t~W,2,3,3,3,88,0,0,[]
359,"[0,1,2,5,6,8]",IFzvvn{EO,I?\rvzu~g,2,4,4,4,195,0,0,[]
360,"[3,5,6,8]",IFzvvn{yO,IiF~vqnNw,2,3,3,3,104,0,0,[]
361,"[0,3,5,6,8]",IFzvvn{YO,IjWm}yvNw,2,3,3,3,98,0,0,[]
362,"[1,3,5,6,8]",IFzvvn{iO,IjWm}yvNw,2,3,3,3,98,0,0,[]
363,"[0,1,3,5,6,8]",IFzvvn{IO,Ii\pm]zNw,2,3,3,3,79,0,0,[]
364,"[2,3,5,6,8]",IFzvvn{qO,IjWm}yvNw,2,3,3,3,98,0,0,[]
365,"[0,2,3,5,6,8]",IFzvvn{QO,Ii\pm]zNw,2,3,3,3,79,0,0,[]
366,"[1,2,3,5,6,8]",IFzvvn{aO,Ii\pm]zNw,2,3,3,3,79,0,0,[]
367,"[0,1,2,3,5,6,8]",IFzvvn{AO,IiPzpyzNw,2,4,4,4,175,0,0,[]
368,"[4,5,6,8]",IFzvvn{{O,IIF~vqnnw,2,3,3,3,92,0,0,[]
369,"[0,4,5,6,8]",IFzvvn{[O,IJWm}yvnw,2,3,3,3,86,0,0,[]
370,"[1,4,5,6,8]",IFzvvn{kO,IJWm}yvnw,2,3,3,3,86,0,0,[]
371,"[0,1,4,5,6,8]",IFzvvn{KO,II\pm]znw,2,3,3,3,64,0,0,[]
372,"[2,4,5,6,8]",IFzvvn{sO,IJWm}yvnw,2,3,3,3,86,0,0,[]
373,"[0,2,4,5,6,8]",IFzvvn{SO,II\pm]znw,2,3,3,3,64,0,0,[]
374,"[1,2,4,5,6,8]",IFzvvn{cO,II\pm]znw,2,3,3,3,64,0,0,[]
375,"[0,1,2,4,5,6,8]",IFzvvn{CO,IIPzpyznw,2,4,4,4,174,0,0,[]
376,"[3,4,5,6,8]",IFzvvn{wO,IIJ~vq^Nw,2,3,3,3,82,0,0,[]
377,"[0,3,4,5,6,8]",IFzvvn{WO,IJWu}w~jw,2,3,3,3,74,0,0,[]
378,"[1,3,4,5,6,8]",IFzvvn{gO,IJWu}w~jw,2,3,3,3,74,0,0,[]
379,"[0,1,3,4,5,6,8]",IFzvvn{GO,II\pu[~lw,2,3,3,3,51,0,0,[]
380,"[2,3,4,5,6,8]",IFzvvn{oO,IJWu}w~jw,2,3,3,3,74,0,0,[]
381,"[0,2,3,4,5,6,8]",IFzvvn{OO,II\pu[~lw,2,3,3,3,51,0,0,[]
382,"[1,2,3,4,5,6,8]",IFzvvn{_O,II\pu[~lw,2,3,3,3,51,0,0,[]
383,"[0,1,2,3,4,5,6,8]",IFzvvn{?O,IIPzpw~mw,2,4,4,4,139,0,0,[]
384,"[7,8]",IFzvvn{~_,IVz`z~]vw,2,3,3,3,117,1,1,"[{""new_list"":[0,1],""family_states"":83,""deletion_rounds"":[14,4,4,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
385,"[0,7,8]",IFzvvn{^_,ISxzu~u|w,2,3,3,3,115,0,0,[]
386,"[1,7,8]",IFzvvn{n_,ISxzu~u|w,2,3,3,3,115,0,0,[]
387,"[0,1,7,8]",IFzvvn{N_,IBZs~^y}w,2,3,3,3,103,0,0,[]
388,"[2,7,8]",IFzvvn{v_,ISxzu~u|w,2,3,3,3,115,1,1,"[{""new_list"":[0,1],""family_states"":83,""deletion_rounds"":[13,4,4,2,4],""base_list_coloring_sat"":true,""augmented_x0_list_coloring_sat"":false,""augmentation_sensitive"":true}]"
389,"[0,2,7,8]",IFzvvn{V_,IBZs~^y}w,2,3,3,3,103,0,0,[]
390,"[1,2,7,8]",IFzvvn{f_,IBZs~^y}w,2,3,3,3,103,0,0,[]
391,"[0,1,2,7,8]",IFzvvn{F_,I?\vvn{~W,2,4,4,4,205,0,0,[]
392,"[3,7,8]",IFzvvn{z_,IBq~V~}~_,2,3,3,3,116,0,0,[]
393,"[0,3,7,8]",IFzvvn{Z_,IjJ]v]}Nw,2,3,3,3,112,0,0,[]
394,"[1,3,7,8]",IFzvvn{j_,IjJ]v]}Nw,2,3,3,3,112,0,0,[]
395,"[0,1,3,7,8]",IFzvvn{J_,Ii[u^m}Nw,2,3,3,3,97,0,0,[]
396,"[2,3,7,8]",IFzvvn{r_,IjJ]v]}Nw,2,3,3,3,112,0,0,[]
397,"[0,2,3,7,8]",IFzvvn{R_,Ii[u^m}Nw,2,3,3,3,97,0,0,[]
398,"[1,2,3,7,8]",IFzvvn{b_,Ii[u^m}Nw,2,3,3,3,97,0,0,[]
399,"[0,1,2,3,7,8]",IFzvvn{B_,IiPxvu}Nw,2,4,4,4,195,0,0,[]
400,"[4,7,8]",IFzvvn{|_,I_~vd|}^w,2,3,3,3,102,0,0,[]
401,"[0,4,7,8]",IFzvvn{\_,IJJ]v]}nw,2,3,3,3,99,0,0,[]
402,"[1,4,7,8]",IFzvvn{l_,IJJ]v]}nw,2,3,3,3,99,0,0,[]
403,"[0,1,4,7,8]",IFzvvn{L_,II[u^m}nw,2,3,3,3,81,0,0,[]
404,"[2,4,7,8]",IFzvvn{t_,IJJ]v]}nw,2,3,3,3,99,0,0,[]
405,"[0,2,4,7,8]",IFzvvn{T_,II[u^m}nw,2,3,3,3,81,0,0,[]
406,"[1,2,4,7,8]",IFzvvn{d_,II[u^m}nw,2,3,3,3,81,0,0,[]
407,"[0,1,2,4,7,8]",IFzvvn{D_,IIPxvu}nw,2,4,4,4,194,0,0,[]
408,"[3,4,7,8]",IFzvvn{x_,IAM~~z{yw,2,3,3,3,97,0,0,[]
409,"[0,3,4,7,8]",IFzvvn{X_,IJJ]v[~ng,2,3,3,3,92,0,0,[]
410,"[1,3,4,7,8]",IFzvvn{h_,IJJ]v[~ng,2,3,3,3,92,0,0,[]
411,"[0,1,3,4,7,8]",IFzvvn{H_,II[u^k~ng,2,3,3,3,72,0,0,[]
412,"[2,3,4,7,8]",IFzvvn{p_,IJJ]v[~ng,2,3,3,3,92,0,0,[]
413,"[0,2,3,4,7,8]",IFzvvn{P_,II[u^k~ng,2,3,3,3,72,0,0,[]
414,"[1,2,3,4,7,8]",IFzvvn{`_,II[u^k~ng,2,3,3,3,72,0,0,[]
415,"[0,1,2,3,4,7,8]",IFzvvn{@_,IIPxvs~ng,2,4,4,4,174,0,0,[]
416,"[5,7,8]",IFzvvn{}_,IPr~vp^|w,2,3,3,3,115,0,0,[]
417,"[0,5,7,8]",IFzvvn{]_,IJVd|zN}w,2,3,3,3,111,0,0,[]
418,"[1,5,7,8]",IFzvvn{m_,IJVd|zN}w,2,3,3,3,111,0,0,[]
419,"[0,1,5,7,8]",IFzvvn{M_,IB\nc~f~W,2,3,3,3,95,0,0,[]
420,"[2,5,7,8]",IFzvvn{u_,IJVd|zN}w,2,3,3,3,111,0,0,[]
421,"[0,2,5,7,8]",IFzvvn{U_,IB\nc~f~W,2,3,3,3,95,0,0,[]
422,"[1,2,5,7,8]",IFzvvn{e_,IB\nc~f~W,2,3,3,3,95,0,0,[]
423,"[0,1,2,5,7,8]",IFzvvn{E_,I?\r~rt~g,2,4,4,4,195,0,0,[]
424,"[3,5,7,8]",IFzvvn{y_,IhF~vrNNw,2,3,3,3,113,0,0,[]
425,"[0,3,5,7,8]",IFzvvn{Y_,IjC}v^mNw,2,3,3,3,106,0,0,[]
426,"[1,3,5,7,8]",IFzvvn{i_,IjC}v^mNw,2,3,3,3,106,0,0,[]
427,"[0,1,3,5,7,8]",IFzvvn{I_,IjWw}vfNw,2,3,3,3,86,0,0,[]
428,"[2,3,5,7,8]",IFzvvn{q_,IjC}v^mNw,2,3,3,3,106,0,0,[]
429,"[0,2,3,5,7,8]",IFzvvn{Q_,IjWw}vfNw,2,3,3,3,86,0,0,[]
430,"[1,2,3,5,7,8]",IFzvvn{a_,IjWw}vfNw,2,3,3,3,86,0,0,[]
431,"[0,1,2,3,5,7,8]",IFzvvn{A_,IjX`w~\Nw,2,4,4,4,175,0,0,[]
432,"[4,5,7,8]",IFzvvn{{_,IHF~vrNnw,2,3,3,3,92,0,0,[]
433,"[0,4,5,7,8]",IFzvvn{[_,IJC}v^mnw,2,3,3,3,86,0,0,[]
434,"[1,4,5,7,8]",IFzvvn{k_,IJC}v^mnw,2,3,3,3,86,0,0,[]
435,"[0,1,4,5,7,8]",IFzvvn{K_,IJWw}vfnw,2,3,3,3,64,0,0,[]
436,"[2,4,5,7,8]",IFzvvn{s_,IJC}v^mnw,2,3,3,3,86,0,0,[]
437,"[0,2,4,5,7,8]",IFzvvn{S_,IJWw}vfnw,2,3,3,3,64,0,0,[]
438,"[1,2,4,5,7,8]",IFzvvn{c_,IJWw}vfnw,2,3,3,3,64,0,0,[]
439,"[0,1,2,4,5,7,8]",IFzvvn{C_,IJX`w~\nw,2,4,4,4,174,0,0,[]
440,"[3,4,5,7,8]",IFzvvn{w_,IHF~vrNNw,2,3,3,3,82,0,0,[]
441,"[0,3,4,5,7,8]",IFzvvn{W_,IJC}v^mNw,2,3,3,3,74,0,0,[]
442,"[1,3,4,5,7,8]",IFzvvn{g_,IJC}v^mNw,2,3,3,3,74,0,0,[]
443,"[0,1,3,4,5,7,8]",IFzvvn{G_,IJWw}vfNw,2,3,3,3,51,0,0,[]
444,"[2,3,4,5,7,8]",IFzvvn{o_,IJC}v^mNw,2,3,3,3,74,0,0,[]
445,"[0,2,3,4,5,7,8]",IFzvvn{O_,IJWw}vfNw,2,3,3,3,51,0,0,[]
446,"[1,2,3,4,5,7,8]",IFzvvn{__,IJWw}vfNw,2,3,3,3,51,0,0,[]
447,"[0,1,2,3,4,5,7,8]",IFzvvn{?_,IJX`w~\Nw,2,4,4,4,138,0,0,[]
448,"[6,7,8]",IFzvvn{~?,I@z~vrV|w,2,3,3,3,106,0,0,[]
449,"[0,6,7,8]",IFzvvn{^?,IIVt|zj}w,2,3,3,3,103,0,0,[]
450,"[1,6,7,8]",IFzvvn{n?,IIVt|zj}w,2,3,3,3,103,0,0,[]
451,"[0,1,6,7,8]",IFzvvn{N?,IBXns~t~W,2,3,3,3,88,0,0,[]
452,"[2,6,7,8]",IFzvvn{v?,IIVt|zj}w,2,3,3,3,103,0,0,[]
453,"[0,2,6,7,8]",IFzvvn{V?,IBXns~t~W,2,3,3,3,88,0,0,[]
454,"[1,2,6,7,8]",IFzvvn{f?,IBXns~t~W,2,3,3,3,88,0,0,[]
455,"[0,1,2,6,7,8]",IFzvvn{F?,I?\rvzu~g,2,4,4,4,195,0,0,[]
456,"[3,6,7,8]",IFzvvn{z?,IiF~vqnNw,2,3,3,3,104,0,0,[]
457,"[0,3,6,7,8]",IFzvvn{Z?,IjWm}yvNw,2,3,3,3,98,0,0,[]
458,"[1,3,6,7,8]",IFzvvn{j?,IjWm}yvNw,2,3,3,3,98,0,0,[]
459,"[0,1,3,6,7,8]",IFzvvn{J?,Ii\pm]zNw,2,3,3,3,79,0,0,[]
460,"[2,3,6,7,8]",IFzvvn{r?,IjWm}yvNw,2,3,3,3,98,0,0,[]
461,"[0,2,3,6,7,8]",IFzvvn{R?,Ii\pm]zNw,2,3,3,3,79,0,0,[]
462,"[1,2,3,6,7,8]",IFzvvn{b?,Ii\pm]zNw,2,3,3,3,79,0,0,[]
463,"[0,1,2,3,6,7,8]",IFzvvn{B?,IiPzpyzNw,2,4,4,4,175,0,0,[]
464,"[4,6,7,8]",IFzvvn{|?,IIF~vqnnw,2,3,3,3,92,0,0,[]
465,"[0,4,6,7,8]",IFzvvn{\?,IJWm}yvnw,2,3,3,3,86,0,0,[]
466,"[1,4,6,7,8]",IFzvvn{l?,IJWm}yvnw,2,3,3,3,86,0,0,[]
467,"[0,1,4,6,7,8]",IFzvvn{L?,II\pm]znw,2,3,3,3,64,0,0,[]
468,"[2,4,6,7,8]",IFzvvn{t?,IJWm}yvnw,2,3,3,3,86,0,0,[]
469,"[0,2,4,6,7,8]",IFzvvn{T?,II\pm]znw,2,3,3,3,64,0,0,[]
470,"[1,2,4,6,7,8]",IFzvvn{d?,II\pm]znw,2,3,3,3,64,0,0,[]
471,"[0,1,2,4,6,7,8]",IFzvvn{D?,IIPzpyznw,2,4,4,4,174,0,0,[]
472,"[3,4,6,7,8]",IFzvvn{x?,IIJ~vq^Nw,2,3,3,3,82,0,0,[]
473,"[0,3,4,6,7,8]",IFzvvn{X?,IJWu}w~jw,2,3,3,3,74,0,0,[]
474,"[1,3,4,6,7,8]",IFzvvn{h?,IJWu}w~jw,2,3,3,3,74,0,0,[]
475,"[0,1,3,4,6,7,8]",IFzvvn{H?,II\pu[~lw,2,3,3,3,51,0,0,[]
476,"[2,3,4,6,7,8]",IFzvvn{p?,IJWu}w~jw,2,3,3,3,74,0,0,[]
477,"[0,2,3,4,6,7,8]",IFzvvn{P?,II\pu[~lw,2,3,3,3,51,0,0,[]
478,"[1,2,3,4,6,7,8]",IFzvvn{`?,II\pu[~lw,2,3,3,3,51,0,0,[]
479,"[0,1,2,3,4,6,7,8]",IFzvvn{@?,IIPzpw~mw,2,4,4,4,139,0,0,[]
480,"[5,6,7,8]",IFzvvn{}?,IANf~z{}w,2,3,3,3,92,0,0,[]
481,"[0,5,6,7,8]",IFzvvn{]?,IIX^d}}~W,2,3,3,3,82,0,0,[]
482,"[1,5,6,7,8]",IFzvvn{m?,IIX^d}}~W,2,3,3,3,82,0,0,[]
483,"[0,1,5,6,7,8]",IFzvvn{M?,IBXX~rf~g,2,3,3,3,57,0,0,[]
484,"[2,5,6,7,8]",IFzvvn{u?,IIX^d}}~W,2,3,3,3,82,0,0,[]
485,"[0,2,5,6,7,8]",IFzvvn{U?,IBXX~rf~g,2,3,3,3,57,0,0,[]
486,"[1,2,5,6,7,8]",IFzvvn{e?,IBXX~rf~g,2,3,3,3,57,0,0,[]
487,"[0,1,2,5,6,7,8]",IFzvvn{E?,IBXax~{~o,2,4,4,4,175,0,0,[]
488,"[3,5,6,7,8]",IFzvvn{y?,IiG^~z{Nw,2,3,3,3,92,0,0,[]
489,"[0,3,5,6,7,8]",IFzvvn{Y?,Ii[g~nuNw,2,3,3,3,82,0,0,[]
490,"[1,3,5,6,7,8]",IFzvvn{i?,Ii[g~nuNw,2,3,3,3,82,0,0,[]
491,"[0,1,3,5,6,7,8]",IFzvvn{I?,Ii\pW~rNw,2,3,3,3,57,0,0,[]
